,granice,nr,lat,lon
113,"kuŸnicy ko³³¹tajowskiej parzyste od 18 i nieparzyste od 17, marczyñskiego, natansona, s³omczyñskiego",114,50.098701,19.9590299
114,"aleja 29 listopada od 161 do 214, 226, arcybiskupa feliñskiego, batowicka, ksiêdza meiera, kuŸnicy ko³³¹tajowskiej parzyste od 2 do 16d i nieparzyste od 1 do 15c, wêgrzecka",115,50.0965818,19.9624477
115,"buszka, bydgoska , gramatyka, lea parzyste od 46 do 100, misjonarska, nawojki 4 i od 6 do 8 oraz 23, 25, piastowska nieparzyste od 47 do 51 , rolnicza, skarbiñskiego",116,50.0680762,19.8989388
116,"armii krajowej nieparzyste od 5 do 53,baka³arzy, br¹zownicza, budryka , hamernia 1, kawiory, konwisarzy, miechowska, mydlnicka nieparzyste, nawojki 9, odlewnicza (bez nr 1,3), piastowska 22, 26,26a pyjasa, reymonta nieparzyste od 21, rostafiñskiego , spi¿owa, tokarskiego , toruñska",117,50.069896,19.900726
117,"chmiela, lea nieparzyste od 93 do 121, obopólna, piastowska nieparzyste od 53 do 57, smoluchowskiego, warmijska",118,50.0727521,19.9083828
118,"kronikarza galla nieparzyste od 15 do 23, królewska parzyste od 90 do 94, lea nieparzyste od 75 do 81, staffa",119,50.073102,19.9139465
119,"akademicka, aleja 3 maja , aleja mickiewicza parzyste, beniowskiego, chodowieckiego, cichy k¹cik, czarnowiejska parzyste od 18 do 84, domeyki, goetla, igrców, ingardena, kadrówki, oleandry, olimpijska, piastowska nieparzyste od 19 do 39a, radwañskiego, reymana, reymonta parzyste od 4 do 44 i nieparzyste 1, 5, 7, 11, 15, 17, 19,19a, tkacka",120,50.0659181,19.9171197
120,"aleja kijowska 3, 8, 10, chocimska nieparzyste od 1 do 31 i parzyste od 4 do 32, czarnowiejska nieparzyste od 73 do 103, lea parzyste od 20 do 36 a, ogrodniczek, plac nowowiejski, spokojna, urzêdnicza parzyste od 2 do 30, za targiem",121,50.0689759,19.9127037
121,"aleja kijowska parzyste od 12 do 16 i nieparzyste od 9 do 13, chocimska nieparzyste od 33 do 39 i 38, kronikarza galla parzyste od 18 do 24, królewska parzyste od 56 do 88, lea nieparzyste od 21a do 55, nowowiejska nieparzyste od 29 do 37, parzyste od 20 do 32, urzêdnicza parzyste od 34 do 48",122,50.0714473,19.9149116
122,"aleja kijowska parzyste od 30 do 34, bytomska, kadecka 1, 4, 6, 8, 10, kazimierza wielkiego nieparzyste od 67 do 97 i parzyste od 108 do 144, kronikarza galla nieparzyste od 1 b do 11, królewska nieparzyste od 61 do 69, rac³awicka parzyste od 2 do 32 a, zak¹tek od 1 do 3",123,50.074954,19.9171929
123,"czy¿ewskiego, kazimierza wielkiego nieparzyste od 103, przeskok, podchor¹¿ych 1, siemieñskiego, zak¹tek od 4 do 9, 11, 13",124,50.0813231,19.912227
124,"kazimierza wielkiego parzyste od 58 do 104, kronikarza galla parzyste od 2 do 12, królewska nieparzyste od 45 do 59, nowowiejska od 1 do 16, urzêdnicza parzyste od 52a do 64",125,50.0729994,19.9198143
125,"aleja grottgera parzyste od 2 do 66, berenta, biernackiego, kazimierza wielkiego nieparzyste od 1 do 61, koœcielna, kujawska, ³obzowska 67, plac axentowicza 3, 5, 7, rac³awicka nieparzyste od 1 do 21 , sienkiewicza od 18 do 27, urzêdnicza 65 i 68, 68a , wyspiañskiego, zbrojów",126,50.0722432,19.9285743
126,"józefitów od 1 do 12, kazimierza wielkiego parzyste od 2 do 54a, królewska nieparzyste od 1 do 43, pomorska parzyste od 2 do 10 , urzêdnicza nieparzyste od 49 do 59",127,50.07149,19.9239599
127,"aleja grottgera 1, 3, 11, 11a,35, 37, aleja s³owackiego parzyste od 24 do 36, gzymsików, mazowiecka parzyste od 2 do 46, sienkiewicza parzyste od 30 do 34",128,50.0721036,19.9296124
128,"aleja s³owackiego parzyste od 2 do 18a, lenartowicza od 16 do 23, ³obzowska parzyste od 46 do 52, plac axentowicza 4, 6, plac inwalidów 6, 7, 8, pomorska nieparzyste od 1 do 9, sienkiewicza od 1 do 15",129,50.0696853,19.9264348
129,"chopina parzyste od 20 do 38 i nieparzyste od 17 do 33, czapiñskiego, czarnowiejska nieparzyste od 55 do 63, konarskiego parzyste od 2 do 34, lea parzyste od 12b do 18, urzêdnicza nieparzyste od 1 do 29",130,50.0682702,19.9210214
130,"józefitów od 14 do 21, konarskiego od 39 do 54, królewska parzyste od 2 do 54, lea nieparzyste od 5 do 19 a, plac inwalidów 3, 4, urzêdnicza nieparzyste od 35 do 47",131,50.0702964,19.9237208
131,"chopina parzyste od 4 do 18 i nieparzyste od 1 do 13, czarnowiejska nieparzyste od 41 do 51, lea parzyste od 4 do 12 a, kar³owicza, konarskiego nieparzyste od 1 do 37, symfoniczna, szymanowskiego",132,50.0688202,19.9228887
132,"aleja s³owackiego parzyste od 38 do 66, cieszyñska, lubelska, mazowiecka nieparzyste od 1 do 21, pr¹dnicka 4, s³omnicka, œl¹ska, œwiêtokrzyska, wroc³awska 8 i parzyste od 12 do 24",133,50.07287150000001,19.9313904
133,"oboŸna, rac³awicka 55, sk³adowa od 15, w³adys³awa ³okietka od 1 do 32, wroc³awska nieparzyste od 11 do 55",134,50.0786153,19.9279936
134,"augustynka-wichury, friedleina, kamienna 8, odrow¹¿a, plater emilii, pr¹dnicka parzyste od 8 do 26 i 9, sk³adowa od 1 do 14, wroc³awska nieparzyste od 5 do 9, zbo¿owa",135,50.0794225,19.9311714
135,"kmieca 19, litewska nieparzyste od 9 do 23, mazowiecka nieparzyste od 23 do 39, m³ynówka królewska (bez 2), wójtowska nieparzyste od 1 do 13, wroc³awska parzyste od 26 do 56",136,50.0781196,19.9228814
136,"kmieca (bez 19), litewska parzyste od 20 do 34 i 66 i nieparzyste od 37 do 49, mazowiecka nieparzyste od 41 do 55, rac³awicka 39, 41, 47, wójtowska 4, wroc³awska parzyste od 58 do 62",137,50.0772702,19.922465
137,"aleja kijowska parzyste od 44 do 66, mazowiecka nieparzyste od 113 do 131, rac³awicka parzyste od 40 do 54, wroc³awska nieparzyste od 75 do 97 i parzyste od 64 do 76",138,50.0776335,19.9177182
138,"aleja kijowska nieparzyste od 29 do 61, mazowiecka parzyste od 60 do 108, m³ynówka królewska 2, rac³awicka 29, 31, rzeczna, wojskowa, wroc³awska 78, 78 a, 80",139,50.0767929,19.9164709
139,"boya-¿eleñskiego, genera³a wieniawy-d³ugoszowskiego 6,10, 22, groszkowa, katowicka, ksiêdza truszkowskiego, narcyzowa, palmowa, pasternik nieparzyste, peipera, pod strzech¹, radzikowskiego eljasza 166,168 i nieparzyste od 97, tetmajera, witkiewicza, zielony most od 4 do 12a, ¿eleñskiego",140,50.0867178,19.8801235
140,"balicka nieparzyste od 1 do 53 i parzyste 12, 12 a, 12 b, 12 c,14a,14b, na b³onie 1, 3, 3 a, 3 b, 3 c, 9 a, zielony most 2",141,50.0825277,19.8869352
141,armii krajowej nieparzyste od 77 do 87,142,50.077015,19.887859
142,"armii krajowej nieparzyste 89, 93, bronowicka 136, jab³onkowska, na b³onie 15, 15 a, 15 b, 15 c",143,50.0794449,19.8889331
143,"na b³onie 9, 11, 11 a, 13, 13 a, 13 b",144,50.079799,19.882226
144,"arciszewskiego, balicka nieparzyste od 61 do 99 i parzyste od 40 do 102 a, brzegowa, bzymka-strza³kowskiego, filtrowa, hamernia (bez 1), justowska, kowalskiego, ksiêdza machaya, kwiatkowskiego, kuŸnicza, legendy, lindego, m³ynarskiego, na b³onie 6, 10, 12, 14, 16, 19 i od 20 do 61b, nad zalewem (bez 1, 1 a,2e,4,4f,g,h,i,j,k,l s,8), ochlewskiego,odlewnicza 1,3, olkuska, orna, pamiêtna, piwnika ponurego, popiela, prystora, przesmyk, przyjemna, rotmistrza pileckiego, stru¿eckiego, trawiasta, wiedeñska, zarudawie, zarzecze od 97 do 136",145,50.0750605,19.884667
145,"balicka 116,116a,117, od 126, barciszewskiego, brzeziñskiego, brzozowskiego, doliñskiego, genera³a wieniawy-d³ugoszowskiego (bez 6,10, i 22), godlewskiego, gradowa, hemara, kurozwêckiego, majora ³upaszki, na nowinach, profesora spiczakowa, profesora myczkowskiego, przy m³ynówce , wapiennik,weryhy-darowskiego, wierzyñskiego, wójcickiego, zakliki z mydlnik, zaklucze, zygmunta starego",146,50.079487,19.866964
146,"altanowa, bronowicka parzyste od 2 do 12 b, jadwigi z ³obzowa, krzywy zau³ek, lea nieparzyste od 123 do 165, m³odej polski,niedzia³kowskiego,piastowska parzyste od 34 do 50, rydla nieparzyste od 1 do 17, staszczyka, szlachtowskiego, ¿elechowskiego",147,50.0738676,19.9035971
147,"bandtkiego od 20, bronowicka 20, 38, 38 a, cicha, rydla parzyste od 2 do 24",148,50.07511419999999,19.8988041
148,"bronowicka nieparzyste od 5 do 69, czeladnicza, czepca 3, 9 a, 9 b, 9 c, 9 d, g³owackiego parzyste, górna, grenadierów, halczyna, kmietowicza, krakusów, rodakowskiego, rydla nieparzyste od 21 do 53 i 26, 28, 42, wallek-walewskiego, wjazdowa, zaczarowane ko³o, z³oty róg od 1 do 23",149,50.0766439,19.905074
149,"bronowicka nieparzyste od 71 do 139, czepca parzyste od 2 do 20, wernyhory, z³oty róg od 25 do 54, 54a",150,50.080059,19.8957099
150,"drzyma³y, kunickiego, mys³akowskiego (bez 13), przybyszewskiego od 15 do 53 ,61, 63, 65, 67, sewera, szablowskiego, œwiêtego wojciecha, wesele, w³oœciañska, zarzecze parzyste od 2 do 90 i nieparzyste od 1 do 77",151,50.0738284,19.8926782
151,"armii krajowej 2, 6,8a, ko³owa, mys³akowskiego 13, lea parzyste od 110 do 244 i nieparzyste od 167 do 259, piastowska parzyste 30,32, przybyszewskiego 71",152,50.0705979,19.9035379
152,"bandtkiego od 1 do 17, bronowicka parzyste od 48 do 88, 90 i 104, przybyszewskiego od 1 do 14 a, so³tysa dytmara, stañczyka, zapolskiej",153,50.0781655,19.8990405
153,"aleja konarowa, aleja wêdrowników, astronautów, bagatela, ba¿ancia, bielañska, bielañskiego, czajek, czy¿yków, daleka, dworna, jemio³uszek, kaszubska, krucza, ksiêcia józefa parzyste od 128 do 212 a, nieparzyste od 291 do 379, maækowa góra, marsza³ka wolskiego, mirowska, na górkach, na grabinach, na wirach,niemena, okr¹g, orla (bez150), oszustowskiego, pod janem, pod szwedem, przepiórcza, puchalskiego, puszczyków, rêdzina, sêpia, skalna, sokola, zakrêt, zaogrodzie, zaszkolna",154,50.0467119,19.838649
154,"aleja kasztanowa nieparzyste od 47 do 71b,73 i parzyste od 54 do 78, baranieckiego, becka 17, 17a, 19, 25,27, 29,54, 58,60 i nieparzyste od 41 do 57, che³mska, chwistka, czecha, grabowa parzyste, junacka, jurowicza, królowej jadwigi nieparzyste od 279 do 329, malownicza, marynarska,nad zalewem 2e,4,4f,g,h,i,j,k,l,s, niezapominajek, olszanicka od 1 do 9, orla 150, oœwiêcimska, pod³u¿na, pod stokiem, przysz³oœci, pylna, rysi stok, rzepichy, wilczy stok, wiosenna, za sk³onem, zakamycze, zielony dó³",155,50.066879,19.8557234
155,"amazonek, g³ogowiec, insurekcji koœciuszkowskiej, jagie³ka, jantarowa, korzeniaka, kosmowskiej, krzy¿ówka, ksiêdza skargi, leœmiana, majówny, na borach, na polankach, nad Ÿród³em, olszanicka od 10, pod ska³¹, pod szañcami, podkamyk, porzecze, powstania listopadowego, powstania styczniowego, raczkiewicza, stryjeñskiej,szaserów, wy¿gi",156,50.0640736,19.8066641
156,"borówczana, bruzdowa, cygañska, dobrzyckiego, gajówka, herzoga, jod³owa, kamedulska, kasprzyckiego, koziarówka, ksiêcia józefa nieparzyste od 115 b do 289 i parzyste od 84 do 120, müncha, muzyczki, nietoperzy, olchowa, pajêcza, przegorzalska, rybna, skibowa, szyszko-bohusza, uboczna, winowców, zaskale, ¿emaitisa, ¿ywiczna",157,50.0509004,19.8763807
157,"borelowskiego-lelewela 19, ka³u¿y, ³owiecka 3, 5, rotmistrza dunin-w¹sowicza 3, 5, 7, 9, 11, 19 nieparzyste od 41 do 49 i parzyste od 8 do 52, stachowicza 3, 5, syrokomli parzyste od 22 do 26, ujejskiego nieparzyste od 1 do 15, w³óczków parzyste od 20 do 22",158,50.05562459999999,19.9224971
158,"fa³ata 2, 2 a, 2 b, filarecka, kraszewskiego nieparzyste od 1 do 29 i parzyste od 2 do 16, ³owiecka 2, prusa nieparzyste od 1 do 15, salwatorska nieparzyste od 1 do 7 a, parzyste od 4 do 16, senatorska nieparzyste od 1 do 21",159,50.0570773,19.9188171
159,"aleja marsza³ka focha 14 i od 24 do 32, fa³ata 4,4/i,4/ii,4/iii,4/2,4/3, 6 i nieparzyste od 3 do 13, kraszewskiego parzyste od 22 do 36, prusa nieparzyste od 17 do 39 i 28, 30, salwatorska nieparzyste od 9 do 15, wyczó³kowskiego od 2 do 8",160,50.0580225,19.9175683
160,"aleja marsza³ka focha 34, 38 b, nieparzyste od 35 do 39 c, fa³ata 12,12d, 14, 14 a, kasztelañska, mlaskotów, prusa parzyste od 2 do 18, salwatorska parzyste od 18 do 22 i nieparzyste od 17 do 35, senatorska nieparzyste od 23 do 43, wyczó³kowskiego parzyste od 10 do 14",161,50.0574441,19.9130564
161,"aleja krasiñskiego parzyste od 4 do 32, koœciuszki 1, 3, morawskiego parzyste od 10 do 12, rotmistrza dunin-w¹sowicza 2, 4, 6, syrokomli nieparzyste od 1 do 25",162,50.0552954,19.9270159
162,"borelowskiego-lelewela nieparzyste od 3 do 17, koœciuszki nieparzyste od 15 do 27, morawskiego 5, stachowicza parzyste od 2 do 14, syrokomli parzyste od 10 do 20, tatarska, ujejskiego parzyste od 2 a do 12, w³óczków parzyste od 2 do 18 i 11 a",163,50.0542738,19.9233408
163,"borelowskiego-lelewela parzyste od 2 do 24, dojazdowa, flisacka, jaskó³cza, komorowskiego, koœciuszki parzyste od 18 do 86 i nieparzyste od 31 do 73, plac na stawach, senatorska parzyste od 2 do 26, stachowicza nieparzyste od 13 do 17",164,50.0540195,19.9232623
164,"aleja ma³eckiego, doktora kudliñskiego, doktora owcy-orwicza, dro¿yna, emaus (bez 51, 53, 55, 57), fabijañskich, gandhiego, gryfity, hofmana, kopiec koœciuszki, korzeniowskiego, królowej jadwigi nieparzyste od 1 do 153 c , parzyste od 4 do 184, leszczynowa, ludwika wêgierskiego, malczewskiego nieparzyste od 3 do 11 i parzyste od 4 do 12, odyñca, panoramiczna, piastowska parzyste od 2 do 10 i nieparzyste od 1 do 15, przegon, romera, sawickiego, s³onecznikowa, tondosa, zaœcianek, zimorodków",165,50.0547744,19.8968362
165,"aleja waszyngtona, anczyca, benedyktowicza, bia³e wzgórze, do przystani, gontyna, koœciuszki 88, ksiêcia józefa parzyste od 6 do 54 a i nieparzyste od 1 do 115,malczewskiego 47a, polnych kwiatów, œwiêtej bronis³awy, ukryta, wioœlarska, wodoci¹gowa",166,50.0533434,19.9004537
166,"28 lipca 1943 roku, b¹kowskiego, berberysowa, bielaka, borowego, cedrowa, ciechanowskiego, czeremchowa, emaus 51, 53, 55, 57, ko³o strzelnicy, kopery, korbutowej, królowej jadwigi parzyste od 186 do 246 i nieparzyste od 155 do 213, krzywickiego, lajkonika, lisia, mrówczana, nasza, pêkszyca-grudziñskiego, pod sikornikiem, pod sulnikiem, pod³¹cze, poniedzia³kowy dó³, porêba, robla, rogalskiego, starowolska, strzelnica, wyrobka, wyrwy furgalskiego, z³ota",167,50.06356599999999,19.8715661
167,"agrestowa, aleja kasy oszczêdnoœci miasta krakowa, aleja do kopca, aleja kasztanowa nieparzyste od 1 do 43 i parzyste od 4 do 52, aleja modrzewiowa ( bez 22), aleja panieñskich ska³, aleja pustelnika, aleja sosnowa, aleja ¿ubrowa, astronomów, bodziszkowa, cisowa, dolina, estreicherów, grabowa nieparzyste, halki, jeleniowa, jesionowa, jontkowa górka, kogucia, kopalina, kotlarczyków, krañcowa, królowej jadwigi parzyste od 248 do 330 i nieparzyste od 215 do 277c, kuku³cza, leœna, ³azarskiego, migda³owa, morelowa, na wierzchowinach, nad zalewem 1, 1 a, 8, nitscha, sarnie uroczysko, œwierkowa",168,50.0684333,19.873029
168,"anusi, babinicza, billewiczów, braci kiemliczów, burgundzka, butrymów, dêboroga, gwieŸdzista, kamieniecka, ketlinga, kobierzyñska nieparzyste od 165 i parzyste od 144, korpala od 1 do 20, koszarówka, krymska, laudañska, normandzka, obozowa nieparzyste od 1 do 63,parzyste nr 2,8,12,16,16a,20,22,22a,24,24a,b,c,38,38a, pod dêbami, pod strug¹, profesora bartla (bez nr 19,19a,19b,19c), profesor bieniarzówny, profesora wicherkiewicza, pu³kownika spychalskiego, skoœna, soroki, wandejska, zaporoska, zawi³a nieparzyste od 51 i parzyste od 42, zbaraska",169,50.0009733,19.8974596
169,"chmieleniec, czerwone maki 55,69,71,73,82,84, lubostroñ, profesora bobrzyñskiego, szwai, szuwarowa",170,50.0186109,19.8983717
170,"arktyczna, biedronki, biesiadna, centkiewiczów, doktora babiñskiego od 1 do 28 ( bez 25) , 29/2, 29/19, 29/20, 29/21, 29/22, 29/22a, 29/23, 29/24, 29/25,29/26, 29/27, 29/29,29/30, 29/31, 29/32, 29/37, 29/44,29/45, 29/45a,29/vc oraz od 30 do 52 , doktora piltza, drozdowskich, kolista, komuny paryskiej, krum³owskiego, kwiecista, macierzanki, orleañska,paw³a z krosna, polarna, profesora czeppe, sidziñska, spacerowa, tymotkowa, zamiejska",171,50.0040091,19.8953212
171,"drukarska, gutenberga, jahody, profesora wiœniewskiego, przemiarki, zachodnia, zalesie nieparzyste od 39 i parzyste od 20,",172,50.0238936,19.9039096
172,"bu³garska, dereniowa, kobierzyñska nieparzyste od 141 do 163 i parzyste od 128 do 142, krokusowa, liœciasta, ³any, magnolii, obozowa nieparzyste od 75, pastelowa, podhalañska nieparzyste, pszczelna, raciborska, ruczaj nieparzyste od 21 do 45 i parzyste od 22 do 54, 62 a, s¹siedzka, studzianki, torfowa, turonia nieparzyste, zalesie nieparzyste od 1 do 37 , parzyste od 2 do 18 , zbrojarzy nieparzyste od 85",173,50.0260056,19.9176594
173,"kobierzyñska nieparzyste od 91 do 139 a,b i parzyste od 104 do 126",174,50.0275045,19.9136337
174,"gronostajowa, grota roweckiego 40 i nieparzyste od 35",175,50.0260924,19.8954329
175,"baczyñskiego, balanówka, brûcknera, dobrowolskiego, doktora babiñskiego od 53, domowa, grzegorzewskiej, harcmistrza orszy-broniewskiego, hufcowa, jasienicy, karola bunscha, kozienicka, ksiêdza wujka, ³ukowiec, obroñców tobruku, ojca bocheñskiego, paska, porfirowa, rosista, skotnicka nieparzyste od 69 do 229 i parzyste od 88 do 250, starzyñskiego, szerokie ³¹ki, szymonowica, unruga 106",176,50.0052958,19.8747918
176,"batalionów ch³opskich, braterstwa broni, czwartaków, dworski ogród, krajobrazowa, kresowa, królówka, majora s³abego, mochnaniec, obroñców helu, porucznika emira, skotnicka nieparzyste od 1 do 67 i parzyste od 2 do 86 b, unruga (bez 106), winnicka, zelwerowicza",177,50.0148179,19.8645692
177,"b³otniska, chlebiczna, dzia³owskiego, hollendra, kochmañskiego, ko³aczkowskiego, medalionów, na kliñcu, na³kowskiej, petra¿yckiego parzyste od 56 i nieparzyste od 41, podgórki tynieckie od 1 do 23, pra¿mowskiego, profesora opa³ka, rad³owa, sapalskiego, sk¹pskiego, skotnicka parzyste od 252 i nieparzyste od 231, solówki nieparzyste, topografów, tretówka, wapowskiego, warcha³owskiego, wrony, zagumnie, zientary, ¿yzna",178,49.98838,19.8566827
178,"bagienna, benedyktyñska, bogucianka, boles³awa œmia³ego, browarniana, bór, danusi jurandówny, dziewiarzy, fedkowicza, grodzisko, heligundy, janasówka, juranda ze spychowa, lutego tura, maæka z bogdañca, nad czern¹, obrony tyñca, podgórki tynieckie od 24 (bez 96), promowa, sko³czanka, stêpice, œwiêtojañska, szczygielskiego, toporczyków, walgierza wda³ego, wielogórska, zagórze, zakleœnie",179,50.0076428,19.8310801
179,"brzask, bobrowa, bodzowska, bojanówka, d¹browa, falista, fosa, granitowa, gronowa, jachimeckiego, kaktusowa, kolarzy, kolna, kostrzecka, krzewowa, nierówna, profesora œlaskiego, pustelnia, tyniecka nieparzyste od 137 i parzyste od 118 f, wid³akowa nieparzyste od 13 i parzyste od 10, wielkanocna, zaciernie",180,50.024508,19.850062
180,"ba¿anki, æwik³owa, ekielskiego, harasymowicza, jemio³owa, krasowa, ksiê¿arskiego, moraczewskiego, na leszczu, odrzywolskiego, pokutyñskiego, pryliñskiego, prze³om, rodzinna, skalica, s³oñskiego, sodowa, œwietlana, œwiêtego piotra, talowskiego, tyniecka nieparzyste od 47 do 135 i parzyste od 46 do 118 e, wid³akowa nieparzyste od 1 do 11 i parzyste od 2 do 8b, wzgórze, zakrzowiecka",181,50.0325074,19.8920642
181,"do groty, ³osiówka, norymberska, patynów, pietrusiñskiego, praska nieparzyste od 27 i parzyste od 52, tyniecka od 23 do 45, zielna nieparzyste od 107",182,50.069195,19.953965
182,"bia³a droga, boczna, bu³haka, czarodziejska, czechos³owacka, dêbnicka, dworska, genera³a zieliñskiego, jaworowa, kapelanka 1, 1 a, ksiêdza pawlickiego, mieszczañska, mitkowskiego, monte cassino, nowaczyñskiego ( bez nr 1), obroñców poczty gdañskiej, praska nieparzyste od 1 do 23 i parzyste od 2 do 50, szwedzka nieparzyste od 1 do 49 i parzyste od 36 do 50, twardowskiego od 1 do 67, tyniecka od 10a do 21, wierzbowa, wygrana, zagonów, zielna parzyste, nieparzyste od 31 do 105",183,50.0490954,19.9209697
183,"ceglarska, kapelanka nieparzyste od 23 do 29 i parzyste od 2 do 40 , salezjañska, œwiêtego jacka, twardowskiego od 68, wy³om",184,50.03919759999999,19.9233694
184,"ba³uckiego, dêbowa, konfederacka, pu³askiego nieparzyste od 7 i parzyste od 10, rolna, szwedzka parzyste od 2 do 34, skwerowa, tyniecka od 1 do 10, wasilewskiego, zagrody, zielna nieparzyste od 1 do 29",185,50.04916919999999,19.9259621
185,"barska nieparzyste od 1 do 45 i parzyste od 2 do 42, kiliñskiego, konopnickiej nieparzyste od 1 do 45 i parzyste od 2 do 36, madaliñskiego, powroŸnicza, pu³askiego nieparzyste od 1 do 5 i parzyste od 2 do 8, rynek dêbnicki, ró¿ana, sandomierska, zamkowa, zduñska",186,50.05199589999999,19.928071
186,kobierzyñska parzyste od 16 do 102,187,50.0363224,19.9288741
187,"kapelanka parzyste od 44, i nieparzyste 39 i od 57, lipiñskiego bez nr 15, mi³kowskiego",188,50.0364493,19.9255842
188,"genera³a rostworowskiego-odry, grota-roweckiego nieparzyste od 1 do 33 i 8, kamieniarska, kobierzyñska nieparzyste od 1 do 89, pychowicka",189,50.0312771,19.9216609
189,"barska parzyste od 44 i nieparzyste od 47, komandosów nieparzyste od 11 do 29, konopnickiej nieparzyste od 47 do 69, ludwinowska, na ustroniu, swoboda, turecka, zatorska",190,50.0497025,19.9313124
190,komandosów od 1 do 9,191,50.045631,19.930592
191,"komandosów parzyste od 10 do 18, s³omiana nieparzyste od 1 do 15, szwedzka od 51",192,50.043219,19.9300989
192,"s³omiana 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 22a, 24, ,",193,50.044025,19.92482
193,"s³omiana 19, 19a, 21, 21b, 23, 25, 27,27a,27b,27c, kapelanka 3, 3a, 3b, 5, 5a, 11, 13, 15,15a, rozdro¿e",194,50.041359,19.927245
194,"dekarzy, falowa, gajowa, goplana, huculska, irysowa, ludwisarzy, ³ukasiñskiego, miciñskiego, m³ynowa, piaseckiego, ruczaj parzyste od 2 do 20 i nieparzyste od 1 do 19, œwiatowida, œwiebodzicka, tokarska , turonia parzyste, tynkarzy, zaborze, zbrojarzy nieparzyste od 1 do 83 i parzyste, zdunów od 19",195,50.0214419,19.9211779
195,"ch³odna, koœciuszkowców, kowalska, krochmalniki, mi³a, montwi³³a-mireckiego, na zrêbie, nieca³a, niemcewicza, nowogródzka, okrzei, podhalañska parzyste, rynek fa³êcki, têczowa, zakopiañska nieparzyste od 73 do 97, zdunów od 1 do 18, ¿ywiecka od 1 do 11",196,50.0182303,19.9256049
196,"borkowskie b³onia, cesarza, doktora ³uczyñskiego, druhny hanki, goryczkowa, jagodowa parzyste od 2 do 12 i nieparzyste od 11 do 19, kêpna, krêpy, ksiêdza karabu³y, ksiêdza zagrodzkiego, ku³akowskiego, obozowa parzyste (bez nr 2,8,12,16,16a,20,22,22a,24,24abc,38,38a), starca, solvaya, szczerbiñskiego, ziobrowskiego, ¿ywiecka od 12",197,50.0129648,19.9103235
197,"borowinowa 77, jeleniogórska, jugowicka parzyste, herberta 8,10,12,14, marcika, modra, myœlenicka nieparzyste od 47 do 77, orzechowa, podmok³a, sielska, zakopiañska parzyste od 54 do 86 i nieparzyste od 99 do 145, osiedle zau³ek jugowicki, zawi³a nieparzyste od 1 do 49",198,49.9998381,19.9395338
198,"chmielna nieparzyste, chocho³owska, do sanktuarium bo¿ego mi³osierdzia, fredry, goslara, harcerska, harcmistrza millana ( bez nr 22), ko³odziejska, kurasia, kwietna, lechicka, malutka, motarskiego, myœlenicka nieparzyste od 1 do 45 i parzyste od 2 do 32, na grz¹dkach, ogrodniki, pasieczna, pierzchówka parzyste, pocztowa, po³omskiego, porucznika w¹cha³y, przykopy nieparzyste od 1 do 7, przy torze, ratajska, siostry faustyny, strumienna nieparzyste i parzyste od 2 do 14, sucha, sowia, sobótka, urocza, w³odarska, zakopiañska parzyste od 2 do 52a, ¿michowskiej",199,50.0131102,19.9460857
199,"bogdanowicza, borsucza 1, 3, 3a i parzyste od 2 do 8, bro¿ka parzyste, cegielniana nieparzyste od 1 do 45, kêdzierzyñska, ko³obrzeska, koszaliñska, lasek, nowotarska, pieniñska, plac ³agiewnicki, s³upska, szaniawskiego, wa³brzyska, zielonogórska",200,50.0295642,19.9319264
200,"cegielniana parzyste od 2, ciesielska, deotymy, do wilgi, hoffmanowej, oraczy, zakopiañska nieparzyste od 1 do 71",201,50.0287903,19.9352701
201,"borsucza nieparzyste od 5 i parzyste od 10, cegielniana nieparzyste od 47, kusociñskiego, lipiñskiego 15, str¹kowa, odrzañska",202,50.028653,19.92848
202,"barycka, bednarska, blacharska, gacki, g¹siorowskiego, gruszczyñskiego nieparzyste od 1 do 31 i parzyste od 2 do 42, hallera, harcerzy krakowskich, hoborskiego, kosocicka 73, 75, 75 a, 75 b, 79, 85, 85 a, 85 b, 85 c , nieparzyste od 87 do 105, koszutki, krzemieniecka nieparzyste od 35 i parzyste od 34, lande, niebieska od 11, osterwy nieparzyste od 1 do 19 a, parzyste od 2 do 16, paw³owskiego, sczanieckiej, szczegów, sztaudyngera, ¿elazowskiego",203,49.989468,20.0063682
203,"berdyczowska, chanieckiej, dru¿backiej, geologów, gombrowicza,gruszczyñskiego parzyste od 44 i nieparzyste od 33, jarockiego, jasiukowicza, krzemieniecka nieparzyste od 1 do 33 i parzyste od 2 do 32,kukie³ek golkowickich,kury³owicza nieparzyste od 71 i parzyste od 52, malinowskiego, na obrydki, pajdaka, ratajskiego, schõnborna",204,49.9827758,19.9964488
204,"be³zy, do luboni od 61, droga rokadowa, gdowska, golkowicka, grawerska, kenara nieparzyste od 1 do 35, 35 a, parzyste od 2 do 18, kury³owicza nieparzyste od 1 do 69, parzyste od 2 do 50, landaua nieparzyste, matematyków krakowskich nieparzyste od 1 do 27,27a, miarowa nieparzyste od 37 i parzyste od 28, na pokusie, nad fos¹, orszañska, osterwy nieparzyste od 21 i parzyste od 18, rytownicza, szczawnicka, tuchowska nieparzyste od 39 i parzyste od 44",205,49.9876416,19.9739323
