,year,nr_obwodu,majchrowski,po,pis,gibala,lesniak,berkowicz,inni,max_voters,votes,obwod06,majchrowski_proc,po_proc,pis_proc,gibala_proc,lesniak_proc,berkowicz_proc,inni_proc
0,2010,1,190,154,97,0,0,0,22,1103,463,1,0.4103671706263499,0.3326133909287257,0.20950323974082075,0.0,0.0,0.0,0.047516198704103674
1,2010,2,138,123,97,0,0,0,19,998,377,2,0.3660477453580902,0.32625994694960214,0.2572944297082228,0.0,0.0,0.0,0.050397877984084884
2,2010,3,170,136,85,0,0,0,16,1239,407,3,0.4176904176904177,0.33415233415233414,0.20884520884520885,0.0,0.0,0.0,0.03931203931203931
3,2010,4,150,115,89,0,0,0,23,1063,377,4,0.3978779840848806,0.3050397877984085,0.23607427055702918,0.0,0.0,0.0,0.0610079575596817
4,2010,5,172,147,80,0,0,0,18,1158,417,5,0.41247002398081534,0.35251798561151076,0.19184652278177458,0.0,0.0,0.0,0.04316546762589928
5,2010,6,126,84,42,0,0,0,14,704,266,6,0.47368421052631576,0.3157894736842105,0.15789473684210525,0.0,0.0,0.0,0.05263157894736842
6,2010,7,242,167,216,0,0,0,17,1498,642,7,0.37694704049844235,0.2601246105919003,0.3364485981308411,0.0,0.0,0.0,0.0264797507788162
7,2010,8,203,201,163,0,0,0,37,1464,604,8,0.3360927152317881,0.33278145695364236,0.26986754966887416,0.0,0.0,0.0,0.061258278145695365
8,2010,9,123,105,61,0,0,0,9,786,298,9,0.412751677852349,0.3523489932885906,0.20469798657718122,0.0,0.0,0.0,0.030201342281879196
9,2010,10,124,111,131,0,0,0,12,844,378,10,0.328042328042328,0.29365079365079366,0.34656084656084657,0.0,0.0,0.0,0.031746031746031744
10,2010,11,156,149,107,0,0,0,14,1043,426,11,0.36619718309859156,0.34976525821596244,0.2511737089201878,0.0,0.0,0.0,0.03286384976525822
11,2010,12,136,157,115,0,0,0,25,927,433,12,0.3140877598152425,0.3625866050808314,0.26558891454965355,0.0,0.0,0.0,0.057736720554272515
12,2010,13,267,194,147,0,0,0,20,1385,628,13,0.4251592356687898,0.3089171974522293,0.2340764331210191,0.0,0.0,0.0,0.03184713375796178
13,2010,14,105,127,69,0,0,0,11,721,312,14,0.33653846153846156,0.40705128205128205,0.22115384615384615,0.0,0.0,0.0,0.035256410256410256
14,2010,15,162,203,154,0,0,0,14,1059,533,15,0.30393996247654786,0.3808630393996248,0.28893058161350843,0.0,0.0,0.0,0.02626641651031895
15,2010,16,191,259,154,0,0,0,35,1264,639,16,0.29890453834115804,0.405320813771518,0.24100156494522693,0.0,0.0,0.0,0.054773082942097026
16,2010,17,155,148,91,0,0,0,22,877,416,17,0.37259615384615385,0.3557692307692308,0.21875,0.0,0.0,0.0,0.052884615384615384
17,2010,18,196,193,94,0,0,0,27,1026,510,18,0.3843137254901961,0.3784313725490196,0.1843137254901961,0.0,0.0,0.0,0.052941176470588235
18,2010,19,170,147,147,0,0,0,14,931,478,19,0.35564853556485354,0.3075313807531381,0.3075313807531381,0.0,0.0,0.0,0.029288702928870293
19,2010,20,128,122,50,0,0,0,14,694,314,20,0.40764331210191085,0.3885350318471338,0.1592356687898089,0.0,0.0,0.0,0.044585987261146494
20,2010,21,169,142,176,0,0,0,29,1156,516,21,0.32751937984496127,0.2751937984496124,0.34108527131782945,0.0,0.0,0.0,0.0562015503875969
21,2010,22,121,181,55,0,0,0,9,847,366,22,0.33060109289617484,0.49453551912568305,0.15027322404371585,0.0,0.0,0.0,0.02459016393442623
22,2010,23,109,154,48,0,0,0,6,624,317,23,0.3438485804416404,0.48580441640378547,0.15141955835962145,0.0,0.0,0.0,0.01892744479495268
23,2010,24,245,225,165,0,0,0,34,1414,669,24,0.3662182361733931,0.336322869955157,0.24663677130044842,0.0,0.0,0.0,0.05082212257100149
24,2010,25,217,180,122,0,0,0,15,1181,534,25,0.40636704119850187,0.33707865168539325,0.22846441947565543,0.0,0.0,0.0,0.028089887640449437
25,2010,26,235,192,109,0,0,0,27,1141,563,26,0.41740674955595025,0.3410301953818828,0.1936056838365897,0.0,0.0,0.0,0.047957371225577264
26,2010,27,282,232,159,0,0,0,32,1439,705,27,0.4,0.32907801418439714,0.225531914893617,0.0,0.0,0.0,0.04539007092198582
27,2010,28,182,151,97,0,0,0,12,877,442,28,0.4117647058823529,0.3416289592760181,0.21945701357466063,0.0,0.0,0.0,0.027149321266968326
28,2010,29,93,112,75,0,0,0,17,660,297,29,0.31313131313131315,0.3771043771043771,0.25252525252525254,0.0,0.0,0.0,0.05723905723905724
29,2010,30,149,157,226,0,0,0,14,1125,546,30,0.27289377289377287,0.2875457875457875,0.4139194139194139,0.0,0.0,0.0,0.02564102564102564
30,2010,31,257,213,106,0,0,0,20,1441,596,31,0.4312080536912752,0.3573825503355705,0.17785234899328858,0.0,0.0,0.0,0.03355704697986577
31,2010,32,132,93,78,0,0,0,7,912,310,32,0.4258064516129032,0.3,0.25161290322580643,0.0,0.0,0.0,0.02258064516129032
32,2010,33,249,284,158,0,0,0,25,1383,716,33,0.3477653631284916,0.39664804469273746,0.2206703910614525,0.0,0.0,0.0,0.034916201117318434
33,2010,34,310,246,101,0,0,0,19,1319,676,34,0.45857988165680474,0.363905325443787,0.14940828402366865,0.0,0.0,0.0,0.028106508875739646
34,2010,35,302,185,162,0,0,0,18,1353,667,35,0.4527736131934033,0.2773613193403298,0.24287856071964017,0.0,0.0,0.0,0.026986506746626688
35,2010,36,171,140,68,0,0,0,7,911,386,36,0.4430051813471503,0.3626943005181347,0.17616580310880828,0.0,0.0,0.0,0.018134715025906734
36,2010,37,223,162,129,0,0,0,18,1356,532,37,0.4191729323308271,0.30451127819548873,0.2424812030075188,0.0,0.0,0.0,0.03383458646616541
37,2010,38,192,209,107,0,0,0,17,1079,525,38,0.3657142857142857,0.3980952380952381,0.2038095238095238,0.0,0.0,0.0,0.03238095238095238
38,2010,39,341,246,248,0,0,0,23,1676,858,39,0.3974358974358974,0.2867132867132867,0.289044289044289,0.0,0.0,0.0,0.026806526806526808
39,2010,40,293,167,161,0,0,0,16,1409,637,40,0.4599686028257457,0.2621664050235479,0.25274725274725274,0.0,0.0,0.0,0.02511773940345369
40,2010,41,242,175,151,0,0,0,22,1536,590,41,0.4101694915254237,0.2966101694915254,0.2559322033898305,0.0,0.0,0.0,0.03728813559322034
41,2010,42,232,178,129,0,0,0,20,1316,559,42,0.4150268336314848,0.3184257602862254,0.23076923076923078,0.0,0.0,0.0,0.03577817531305903
42,2010,43,244,150,149,0,0,0,17,1244,560,43,0.4357142857142857,0.26785714285714285,0.26607142857142857,0.0,0.0,0.0,0.030357142857142857
43,2010,44,307,292,116,0,0,0,23,1552,738,44,0.4159891598915989,0.3956639566395664,0.15718157181571815,0.0,0.0,0.0,0.03116531165311653
44,2010,45,336,229,162,0,0,0,20,1529,747,45,0.4497991967871486,0.30655957161981257,0.21686746987951808,0.0,0.0,0.0,0.02677376171352075
45,2010,46,204,151,91,0,0,0,14,1098,460,46,0.4434782608695652,0.3282608695652174,0.19782608695652174,0.0,0.0,0.0,0.030434782608695653
46,2010,47,239,138,64,0,0,0,6,1018,447,47,0.5346756152125279,0.3087248322147651,0.14317673378076062,0.0,0.0,0.0,0.013422818791946308
47,2010,48,222,197,171,0,0,0,19,1184,609,48,0.3645320197044335,0.32348111658456485,0.28078817733990147,0.0,0.0,0.0,0.031198686371100164
48,2010,49,201,137,96,0,0,0,18,1213,452,49,0.4446902654867257,0.3030973451327434,0.21238938053097345,0.0,0.0,0.0,0.03982300884955752
49,2010,50,207,155,101,0,0,0,8,1140,471,50,0.4394904458598726,0.32908704883227174,0.21443736730360935,0.0,0.0,0.0,0.016985138004246284
50,2010,51,275,170,121,0,0,0,12,1230,578,51,0.4757785467128028,0.29411764705882354,0.2093425605536332,0.0,0.0,0.0,0.020761245674740483
51,2010,52,279,214,138,0,0,0,31,1428,662,52,0.4214501510574018,0.32326283987915405,0.2084592145015106,0.0,0.0,0.0,0.04682779456193353
52,2010,53,196,134,80,0,0,0,14,732,424,53,0.46226415094339623,0.3160377358490566,0.18867924528301888,0.0,0.0,0.0,0.0330188679245283
53,2010,54,326,231,181,0,0,0,29,1621,767,54,0.42503259452411996,0.3011734028683181,0.23598435462842243,0.0,0.0,0.0,0.03780964797913951
54,2010,55,283,186,125,0,0,0,19,1617,613,55,0.46166394779771613,0.3034257748776509,0.2039151712887439,0.0,0.0,0.0,0.03099510603588907
55,2010,56,237,249,151,0,0,0,15,1430,652,56,0.36349693251533743,0.38190184049079756,0.23159509202453987,0.0,0.0,0.0,0.023006134969325152
56,2010,57,374,303,236,0,0,0,30,1987,943,57,0.39660657476139977,0.3213149522799576,0.25026511134676566,0.0,0.0,0.0,0.031813361611876985
57,2010,58,255,234,134,0,0,0,20,1341,643,58,0.3965785381026439,0.36391912908242613,0.208398133748056,0.0,0.0,0.0,0.03110419906687403
